condition,row_type,n_samples,S_pct,C_pct,S/S_pct,S/C_pct,C/S_pct,C/C_pct
plain,ERN,11628,90.99587203302373,9.004127966976265,,,,
plain,GMM,11628,72.49742002063984,27.502579979360164,,,,
plain,ERN+GMM,11628,,,66.72686618507052,24.269005847953217,5.770553835569316,3.233574131406949
awgn_-5dB,ERN,11628,100.0,0.0,,,,
awgn_-5dB,GMM,11628,0.0,100.0,,,,
awgn_-5dB,ERN+GMM,11628,,,0.0,100.0,0.0,0.0
awgn_5dB,ERN,11628,100.0,0.0,,,,
awgn_5dB,GMM,11628,0.0,100.0,,,,
awgn_5dB,ERN+GMM,11628,,,0.0,100.0,0.0,0.0
awgn_15dB,ERN,11628,100.0,0.0,,,,
awgn_15dB,GMM,11628,0.0,100.0,,,,
awgn_15dB,ERN+GMM,11628,,,0.0,100.0,0.0,0.0
clutter_-5dB,ERN,11628,100.0,0.0,,,,
clutter_-5dB,GMM,11628,0.0,100.0,,,,
clutter_-5dB,ERN+GMM,11628,,,0.0,100.0,0.0,0.0
clutter_5dB,ERN,11628,100.0,0.0,,,,
clutter_5dB,GMM,11628,0.0,100.0,,,,
clutter_5dB,ERN+GMM,11628,,,0.0,100.0,0.0,0.0
clutter_15dB,ERN,11628,99.81080151358789,0.1891984864121087,,,,
clutter_15dB,GMM,11628,0.0,100.0,,,,
clutter_15dB,ERN+GMM,11628,,,0.0,99.81080151358789,0.0,0.1891984864121087
random_noise,ERN,1500,100.0,0.0,,,,
random_noise,GMM,1500,0.0,100.0,,,,
random_noise,ERN+GMM,1500,,,0.0,100.0,0.0,0.0
