condition,row_type,category,n_samples,euclidean_mae_m,coverage_1std_pct,coverage_2std_pct,coverage_3std_pct
plain,ERN,S,10581,13.60089065940897,55.202721859937625,91.38077686419054,97.79793970324165
plain,ERN,C,1047,61.46991038994211,72.3018147086915,96.75262655205348,99.14040114613181
plain,GMM,S,8430,15.505579433845377,55.80071174377224,91.28113879003558,98.00711743772241
plain,GMM,C,3198,24.252028023189236,59.2245153220763,93.4021263289556,97.68605378361475
plain,ERN+GMM,S/S,7759,12.219315332671087,54.42711689650728,90.75911844309833,97.89921381621343
plain,ERN+GMM,S/C,2822,17.399488448267665,57.33522324592487,93.09000708717222,97.51948972360029
plain,ERN+GMM,C/S,671,53.505762982297405,71.68405365126677,97.31743666169896,99.2548435171386
plain,ERN+GMM,C/C,376,75.68252451369104,73.40425531914893,95.74468085106383,98.93617021276596
awgn_-5dB,ERN,S,11628,96.23276352947998,0.0,0.08599931200550395,0.49019607843137253
awgn_-5dB,ERN,C,0,nan,nan,nan,nan
awgn_-5dB,GMM,S,0,nan,nan,nan,nan
awgn_-5dB,GMM,C,11628,96.23276352947998,0.0,0.08599931200550395,0.49019607843137253
awgn_-5dB,ERN+GMM,S/S,0,nan,nan,nan,nan
awgn_-5dB,ERN+GMM,S/C,11628,96.23276352947998,0.0,0.08599931200550395,0.49019607843137253
awgn_-5dB,ERN+GMM,C/S,0,nan,nan,nan,nan
awgn_-5dB,ERN+GMM,C/C,0,nan,nan,nan,nan
awgn_5dB,ERN,S,11628,88.31674917763478,0.025799793601651185,0.8427932576539388,3.0529755761953905
awgn_5dB,ERN,C,0,nan,nan,nan,nan
awgn_5dB,GMM,S,0,nan,nan,nan,nan
awgn_5dB,GMM,C,11628,88.31674917763478,0.025799793601651185,0.8427932576539388,3.0529755761953905
awgn_5dB,ERN+GMM,S/S,0,nan,nan,nan,nan
awgn_5dB,ERN+GMM,S/C,11628,88.31674917763478,0.025799793601651185,0.8427932576539388,3.0529755761953905
awgn_5dB,ERN+GMM,C/S,0,nan,nan,nan,nan
awgn_5dB,ERN+GMM,C/C,0,nan,nan,nan,nan
awgn_15dB,ERN,S,11628,80.98561137144739,0.18059855521155832,1.9693842449260406,6.467148262813898
awgn_15dB,ERN,C,0,nan,nan,nan,nan
awgn_15dB,GMM,S,0,nan,nan,nan,nan
awgn_15dB,GMM,C,11628,80.98561137144739,0.18059855521155832,1.9693842449260406,6.467148262813898
awgn_15dB,ERN+GMM,S/S,0,nan,nan,nan,nan
awgn_15dB,ERN+GMM,S/C,11628,80.98561137144739,0.18059855521155832,1.9693842449260406,6.467148262813898
awgn_15dB,ERN+GMM,C/S,0,nan,nan,nan,nan
awgn_15dB,ERN+GMM,C/C,0,nan,nan,nan,nan
clutter_-5dB,ERN,S,11628,91.77261106997452,0.49879600963192294,2.717578259373925,8.075335397316822
clutter_-5dB,ERN,C,0,nan,nan,nan,nan
clutter_-5dB,GMM,S,0,nan,nan,nan,nan
clutter_-5dB,GMM,C,11628,91.77261106997452,0.49879600963192294,2.717578259373925,8.075335397316822
clutter_-5dB,ERN+GMM,S/S,0,nan,nan,nan,nan
clutter_-5dB,ERN+GMM,S/C,11628,91.77261106997452,0.49879600963192294,2.717578259373925,8.075335397316822
clutter_-5dB,ERN+GMM,C/S,0,nan,nan,nan,nan
clutter_-5dB,ERN+GMM,C/C,0,nan,nan,nan,nan
clutter_5dB,ERN,S,11628,83.33302175892068,0.7567939456484348,5.916752665978672,17.440660474716204
clutter_5dB,ERN,C,0,nan,nan,nan,nan
clutter_5dB,GMM,S,0,nan,nan,nan,nan
clutter_5dB,GMM,C,11628,83.33302175892068,0.7567939456484348,5.916752665978672,17.440660474716204
clutter_5dB,ERN+GMM,S/S,0,nan,nan,nan,nan
clutter_5dB,ERN+GMM,S/C,11628,83.33302175892068,0.7567939456484348,5.916752665978672,17.440660474716204
clutter_5dB,ERN+GMM,C/S,0,nan,nan,nan,nan
clutter_5dB,ERN+GMM,C/C,0,nan,nan,nan,nan
clutter_15dB,ERN,S,11606,67.54382455901568,2.4297777011890402,12.054109943132863,24.823367223849733
clutter_15dB,ERN,C,22,37.96788787841797,13.636363636363637,50.0,68.18181818181819
clutter_15dB,GMM,S,0,nan,nan,nan,nan
clutter_15dB,GMM,C,11628,67.48786733447378,2.450980392156863,12.125902992776059,24.905400756793945
clutter_15dB,ERN+GMM,S/S,0,nan,nan,nan,nan
clutter_15dB,ERN+GMM,S/C,11606,67.54382455901568,2.4297777011890402,12.054109943132863,24.823367223849733
clutter_15dB,ERN+GMM,C/S,0,nan,nan,nan,nan
clutter_15dB,ERN+GMM,C/C,22,37.96788787841797,13.636363636363637,50.0,68.18181818181819
